".wx.1.id";".wx.2.ip";".wx.3.experimental_condition";".wx.4.start_time";".wx.5.start_date";".wx.6.end_time";".wx.7.end_date";".wx.8.session_length";".wx.page_trail";".wx.pages_visited";".wx.user_agent";"01_gender";"02_age";"03_prog_exp";"04_bodyheight";"05_skill_tech";"06_loc";"07_genre";"08_loudness";"09_smoke";"10_motivation";"11_soul";"12_soul_phil";"rt_1";"rt_2";"rt_3";"vi_1";"vi_2";"vi_3";"z0_browser_screen_h";"z0_browser_screen_w";
"344523856";"134.34.7.63";"08ee";"10:22:02";"03/11/24";"10:22:42";"03/11/24";"40";"start.html - demos.html - e4.html - thank.html";"4";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36";"woman";"26";"2";"168";"79";"06";"rock";"66";"0";"100";"yes";"dualism";"2288";"5928";"31570";"1";"1";"1";"1080";"1920";
"999025379";"134.34.7.65";"08ee";"10:05:57";"05/14/24";"10:07:47";"05/14/24";"110";"start.html - demos.html - e4.html - thank.html";"4";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15";"woman";"26";"1";"160";"37";"05";"pop";"69";"0";"9";"yes";"dunno";"6870";"11967";"88945";"1";"1";"1";"900";"1440";
"239773384";"134.34.7.229";"08ee";"10:05:59";"05/14/24";"10:07:53";"05/14/24";"114";"start.html - demos.html - e4.html - thank.html";"4";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36";"woman";"21";"2";"171";"34";"05";"pop";"64";"0";"62";"yes";"monism";"12296";"19323";"81983";"1";"1";"1";"768";"1366";
"865087508";"134.34.7.179";"08ee";"10:06:05";"05/14/24";"10:07:49";"05/14/24";"104";"start.html - demos.html - e4.html - thank.html";"4";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36";"woman";"22";"2";"166";"67";"05";"techno";"93";"0";"75";"dunno";"dunno";"3637";"17302";"82005";"1";"1";"1";"720";"1280";
"915666814";"134.34.7.198";"08ee";"10:06:07";"05/14/24";"10:07:32";"05/14/24";"85";"start.html - demos.html - e4.html - thank.html";"4";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:125.0) Gecko/20100101 Firefox/125.0";"woman";"22";"1";"169";"81";"05";"rock";"90";"0";"81";"yes";"dunno";"4030";"20953";"60276";"1";"1";"1";"864";"1536";
"324159498";"134.34.7.143";"08ee";"10:06:10";"05/14/24";"10:07:46";"05/14/24";"96";"start.html - demos.html - e4.html - thank.html";"4";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.0.0";"woman";"21";"2";"164";"18";"05";"pop";"59";"0";"55";"no";"monism";"5719";"11047";"76895";"1";"1";"1";"720";"1280";
"813216450";"134.34.7.84";"08ee";"10:06:14";"05/14/24";"10:07:36";"05/14/24";"82";"start.html - demos.html - e4.html - thank.html";"4";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Safari/605.1.15";"woman";"25";"2";"161";"9";"04";"rock";"77";"1";"63";"dunno";"dunno";"2153";"14195";"61368";"1";"1";"1";"900";"1440";
"873807635";"134.34.7.93";"08ee";"10:06:20";"05/14/24";"10:07:56";"05/14/24";"96";"start.html - demos.html - e4.html - thank.html";"4";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.1 Safari/605.1.15";"woman";"21";"2";"166";"57";"05";"pop";"92";"0";"53";"dunno";"dunno";"2302";"7234";"85452";"1";"1";"1";"900";"1440";
"823645732";"134.34.7.145";"08ee";"10:06:46";"05/14/24";"10:07:55";"05/14/24";"69";"start.html - demos.html - e4.html - thank.html";"4";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15";"man";"23";"2";"183";"72";"05";"rock";"90";"1";"96";"no";"";"9129";"11863";"47067";"1";"1";"1";"1117";"1728";
"677843294";"134.34.7.208";"08ee";"10:06:48";"05/14/24";"10:08:46";"05/14/24";"118";"start.html - demos.html - e4.html - thank.html";"4";"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/25.0 Chrome/121.0.0.0 Mobile Safari/537.36";"man";"20";"1";"172";"21";"05";"pop";"64";"0";"84";"yes";"monism";"4014";"24289";"88115";"1";"1";"1";"915";"412";
